City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rapid valley,44.0625,-103.1463,-12.49,76,0,0.89,US,1708164835
1,grytviken,-54.2811,-36.5092,3.93,84,33,3.63,GS,1708164835
2,margaret river,-33.95,115.0667,22.45,66,45,5.68,AU,1708164760
3,ribeira grande,38.5167,-28.7,17.22,88,20,5.14,PT,1708164837
4,whitehorse,60.7161,-135.0538,-15.55,93,65,2.11,CA,1708164837
5,puerto ayora,-0.7393,-90.3518,25.99,89,70,3.23,EC,1708164838
6,talnakh,69.4865,88.3972,-29.89,88,92,2.83,RU,1708164838
7,vorkuta,67.5,64.0,-24.14,91,60,2.8,RU,1708164839
8,iskateley,67.6803,53.1512,-17.21,94,70,8.94,RU,1708164840
9,zhumysker,49.3333,49.4,-4.75,48,100,6.71,KZ,1708164841
10,puerto natales,-51.7236,-72.4875,9.31,96,97,1.52,CL,1708164841
11,ilulissat,69.2167,-51.1,-14.99,92,75,0.0,GL,1708164842
12,shache,38.4167,77.2406,15.83,15,69,3.25,CN,1708164843
13,enewetak,11.3474,162.3373,26.42,83,7,10.58,MH,1708164843
14,tura,25.5198,90.2201,25.79,21,0,2.58,IN,1708164844
15,gwanda,-20.9333,29.0,36.98,18,3,3.53,ZW,1708164845
16,port-aux-francais,-49.35,70.2167,4.94,72,88,13.08,TF,1708164845
17,ushuaia,-54.8,-68.3,9.24,98,100,1.13,AR,1708164796
18,griffith,41.5284,-87.4237,-8.27,61,0,7.2,US,1708164846
19,kem',64.9555,34.5793,-7.26,95,100,6.79,RU,1708164847
20,adrar,20.5022,-10.0711,26.94,10,84,4.34,MR,1708164848
21,waddan,29.1614,16.139,18.96,26,89,4.94,LY,1708164848
22,ola,59.5833,151.2833,-25.65,89,30,3.26,RU,1708164849
23,port lincoln,-34.7333,135.8667,19.16,71,66,3.9,AU,1708164849
24,coahuayana de hidalgo,18.7,-103.6583,19.84,89,100,0.36,MX,1708164850
25,constantia,44.1833,28.65,3.38,70,65,3.96,RO,1708164851
26,hawaiian paradise park,19.5933,-154.9731,18.73,97,100,3.6,US,1708164852
27,port elizabeth,-33.918,25.5701,26.17,57,20,8.75,ZA,1708164852
28,crane,31.3974,-102.3501,2.6,60,21,7.74,US,1708164853
